"Baby","Time","Duration (min)"
"First-Born","12/14/20 11:10 AM",40
"First-Born","12/14/20 2:45 PM",60
"First-Born","12/14/20 6:54 PM",NA
"First-Born","12/14/20 7:00 PM",700
"First-Born","12/15/20 8:40 AM",24
"First-Born","12/15/20 11:05 AM",40
"First-Born","12/15/20 2:30 PM",90
"First-Born","12/15/20 7:07 PM",693
"First-Born","12/16/20 8:29 AM",2
"First-Born","12/16/20 11:10 AM",95
"First-Born","12/16/20 3:25 PM",27
"First-Born","12/16/20 6:48 PM",712
"First-Born","12/17/20 8:23 AM",30
"First-Born","12/17/20 11:57 AM",123
"First-Born","12/17/20 7:05 PM",700
"First-Born","12/18/20 8:24 AM",22
"First-Born","12/18/20 12:00 PM",90
"First-Born","12/18/20 2:58 PM",25
"First-Born","12/18/20 7:10 PM",NA
"First-Born","12/18/20 7:12 PM",688
"First-Born","12/19/20 8:28 AM",41
"First-Born","12/19/20 11:28 AM",35
"First-Born","12/19/20 3:40 PM",31
"First-Born","12/19/20 7:15 PM",685
"First-Born","12/20/20 8:34 AM",15
"First-Born","12/20/20 11:34 AM",116
"First-Born","12/20/20 3:02 PM",28
"First-Born","12/20/20 7:14 PM",701
"First-Born","12/21/20 10:15 AM",21
"First-Born","12/21/20 11:57 AM",50
"First-Born","12/21/20 7:14 PM",686
"First-Born","12/22/20 8:37 AM",25
"First-Born","12/22/20 11:53 AM",142
"First-Born","12/22/20 7:27 PM",678
"First-Born","12/23/20 8:47 AM",18
"First-Born","12/23/20 11:35 AM",36
"First-Born","12/23/20 2:55 PM",23
"First-Born","12/23/20 7:11 PM",689
"First-Born","12/24/20 8:47 AM",22
"First-Born","12/24/20 12:15 PM",38
"First-Born","12/24/20 7:05 PM",695
"First-Born","12/25/20 8:53 AM",30
"First-Born","12/25/20 11:40 AM",42
"First-Born","12/25/20 4:07 PM",28
"First-Born","12/25/20 7:35 PM",670
